stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"50888","50888",San Pablo Av + Solano Av,37.890066,-122.298747,,"","","","","","0",""
"56688","56688",San Pablo Av + Solano Av,37.889965,-122.299013,,"","","","","","0",""
"55547","55547",San Pablo Av + Stanford Av,37.840477,-122.283047,,"","","","","","0",""
"55335","55335",San Pablo Av + Stanford Av,37.841426,-122.283082,,"","","","","","0",""
"50835","50835",San Pablo Av + Stockton Av,37.908039,-122.306212,,"","","","","","0",""
"56111","56111",San Pablo Av + Stone St,37.965803,-122.344957,,"","","","","","0",""
"58111","58111",San Pablo Av + Tulare Av,37.951461,-122.332904,,"","","","","","0",""
"55525","55525",San Pablo Av + University Av,37.869467,-122.292118,,"","","","","","0",""
"55111","55111",San Pablo Av + University Av,37.868706,-122.29209,,"","","","","","0",""
"55811","55811",San Pablo Av + Vale Rd,37.955914,-122.336062,,"","","","","","0",""
"55578","55578",San Pablo Av + Vale Rd,37.955164,-122.335391,,"","","","","","0",""
"51757","51757",San Pablo Av + Van Ness St,37.960793,-122.342867,,"","","","","","0",""
"51116","51116",San Pablo Av + Van Ness St,37.960153,-122.342394,,"","","","","","0",""
"51162","51162",San Pablo Av + Wall Av,37.92762,-122.320216,,"","","","","","0",""
"56110","56110",San Pablo Av + Wall Av,37.927822,-122.320036,,"","","","","","0",""
"59952","59952",San Pablo Av + West St,37.815354,-122.274989,,"","","","","","0",""
"55660","55660",San Pablo Av + W Grand Av,37.813061,-122.274237,,"","","","","","0",""
"52227","52227",San Pablo Av + W Grand Av,37.813049,-122.273968,,"","","","","","0",""
"55949","55949",San Pablo Dam Rd + Appian Way,37.966274,-122.309878,,"","","","","","0",""
"58876","58876",San Pablo Dam Rd + Appian Way,37.96595,-122.310128,,"","","","","","0",""
"52191","52191",San Pablo Dam Rd + Bristlecone Dr,37.955882,-122.277144,,"","","","","","0",""
"50940","50940",San Pablo Dam Rd + Clark Rd,37.966175,-122.300728,,"","","","","","0",""
"52004","52004",San Pablo Dam Rd + Clark Rd,37.966215,-122.301327,,"","","","","","0",""
"59655","59655",San Pablo Dam Rd + Contra Costa Av,37.953782,-122.331818,,"","","","","","0",""
"52192","52192",San Pablo Dam Rd + Creekside Ct,37.963487,-122.293263,,"","","","","","0",""
"58828","58828",San Pablo Dam Rd + El Portal Dr,37.964135,-122.317945,,"","","","","","0",""
